Order,Test-Times,Load-Time,Cal-Time,
1,0,0.0001766681671142578,43.89084792137146,
2,0,0.0002913475036621094,110.47816824913025,
3,0,0.0005092620849609375,223.76415061950684,
4,0,0.0011339187622070312,415.59897541999817,
5,0,0.002506732940673828,718.9143750667572,
6,0,0.005567073822021484,1176.0478069782257,
7,0,0.011328458786010742,1829.7268993854523,
8,0,0.021707534790039062,2756.482706308365,
9,0,0.0421905517578125,4016.904321670532,
10,0,0.07018685340881348,5621.336515188217,
11,0,0.11799359321594238,7653.268300771713,
12,0,0.19143939018249512,10233.143662691116,
13,0,0.313662052154541,13420.006165027618,
14,0,0.47093629837036133,17314.44766139984,
15,0,0.7197470664978027,22019.570475578308,
16,0,1.0389823913574219,27651.058533668518,
17,0,1.5335447788238525,38953.44413995743,
18,0,2.2660350799560547,42101.424609184265,
19,0,3.3819212913513184,51073.24499154091,
20,0,4.5603649616241455,64172.56842827797,
