Order,Test-Times,Load-Time,Cal-Time,
1,0,9.870529174804688e-05,24.200195789337158,
2,0,0.00011658668518066406,54.20841717720032,
3,0,0.00013685226440429688,94.7500147819519,
4,0,0.00012540817260742188,152.75290083885193,
5,0,0.00014662742614746094,221.39220118522644,
6,0,0.0001957416534423828,314.37353444099426,
7,0,0.0002148151397705078,421.9590675830841,
8,0,0.0002751350402832031,547.4510893821716,
9,0,0.00030112266540527344,698.265958070755,
10,0,0.0003361701965332031,869.3535735607147,
11,0,0.00039577484130859375,1248.0727808475494,
12,0,0.008706331253051758,1973.2758994102478,
13,0,0.008697032928466797,2246.4937913417816,
14,0,0.02347874641418457,2526.936377763748,
15,0,0.009063959121704102,2904.440426826477,
16,0,0.008875846862792969,3217.0957498550415,
17,0,0.009562492370605469,3604.902838945389,
18,0,0.011079549789428711,4018.744387149811,
19,0,0.00966334342956543,4967.283549070358,
20,0,0.0010633468627929688,5523.0540227890015,
