Order,Test-Times,Load-Time,Cal-Time,
1,0,9.131730794906616,43.889408826828,
1,1,9.473764181137085,0.29152369499206543,
1,2,8.775169134140015,0.30164599418640137,
1,3,9.458274841308594,0.3383920192718506,
1,4,9.061301708221436,0.340559720993042,
1,5,9.011882781982422,0.33492040634155273,
1,6,9.044770956039429,0.3339972496032715,
1,7,8.934502124786377,0.3231515884399414,
1,8,9.380900859832764,0.3206627368927002,
1,9,9.349072217941284,0.3275876045227051,
2,0,9.271869659423828,81.09360146522522,
2,1,9.088565349578857,0.9036414623260498,
2,2,9.30321216583252,0.8568968772888184,
2,3,8.830179929733276,0.852827787399292,
2,4,9.00083303451538,0.8584823608398438,
2,5,9.040343523025513,0.8722105026245117,
2,6,8.962999820709229,0.9004251956939697,
2,7,9.077823877334595,0.8834924697875977,
2,8,9.062410354614258,0.9273138046264648,
2,9,9.002859830856323,0.8883872032165527,
3,0,9.212849617004395,141.8509066104889,
3,1,9.392650127410889,1.4672417640686035,
3,2,8.726432085037231,1.50168776512146,
3,3,9.398292303085327,1.4978911876678467,
3,4,9.159116506576538,1.5122954845428467,
3,5,9.006766080856323,1.4965434074401855,
3,6,9.67836332321167,1.435748815536499,
3,7,8.829166889190674,1.4926602840423584,
3,8,8.832455158233643,1.357616662979126,
3,9,9.41627836227417,1.4495110511779785,
4,0,8.981130361557007,3.8899660110473633,
4,1,9.242210865020752,2.910524606704712,
4,2,9.29114031791687,2.915288209915161,
4,3,9.053062915802002,2.9437670707702637,
4,4,9.148466110229492,2.9083797931671143,
4,5,9.702328205108643,2.8844285011291504,
4,6,9.280054807662964,2.8573110103607178,
4,7,9.138603687286377,2.8639683723449707,
4,8,9.308240413665771,2.9144842624664307,
4,9,9.062715530395508,2.911175489425659,
5,0,9.083410739898682,6.350650072097778,
5,1,9.634974718093872,5.484370470046997,
5,2,9.466304540634155,5.74462628364563,
5,3,9.221169710159302,5.54899787902832,
5,4,9.156018733978271,5.72576117515564,
5,5,9.338991403579712,5.639573812484741,
5,6,9.223841190338135,5.646559715270996,
5,7,9.186671733856201,5.543426036834717,
5,8,9.868197917938232,5.655712127685547,
5,9,9.342453956604004,5.601613283157349,
6,0,9.114672422409058,10.420698881149292,
6,1,9.559443473815918,9.976930856704712,
6,2,9.402301788330078,9.888310194015503,
6,3,9.245439529418945,9.748696088790894,
6,4,9.398212432861328,9.765198707580566,
6,5,9.32494831085205,9.99427318572998,
6,6,9.419954061508179,10.191410303115845,
6,7,9.37855052947998,9.801002264022827,
6,8,9.832396507263184,9.987281799316406,
6,9,9.207652807235718,10.034817934036255,
7,0,9.568069696426392,10.85598635673523,
7,1,9.427295923233032,10.058403730392456,
7,2,9.43942928314209,10.154687404632568,
7,3,9.414818525314331,10.258351564407349,
7,4,9.647106885910034,10.266734600067139,
7,5,9.585338830947876,10.482786178588867,
7,6,9.536072015762329,10.117805480957031,
7,7,9.64116382598877,10.145246982574463,
7,8,9.668758392333984,10.133045434951782,
7,9,9.385504961013794,10.1537926197052,
8,0,9.968204975128174,17.863505363464355,
8,1,9.402987957000732,17.286195755004883,
8,2,9.32519817352295,17.51718282699585,
8,3,9.610873460769653,17.28093695640564,
8,4,9.702643394470215,17.294944286346436,
8,5,9.602977514266968,17.330900192260742,
8,6,9.328273057937622,17.643613576889038,
8,7,9.41242003440857,17.618797779083252,
8,8,9.653754234313965,17.56748080253601,
8,9,9.226470708847046,17.294244527816772,
9,0,9.172392845153809,22.795177459716797,
9,1,10.216584205627441,22.488019943237305,
9,2,9.732254028320312,22.50695013999939,
9,3,11.381481885910034,22.646034002304077,
9,4,9.846971988677979,22.941831350326538,
9,5,9.927741765975952,22.7365620136261,
9,6,10.0169837474823,22.857067346572876,
9,7,10.41972804069519,22.456334590911865,
9,8,9.736792802810669,20.67701292037964,
9,9,9.528589963912964,20.441434383392334,
10,0,9.222835779190063,24.772600889205933,
10,1,9.709192991256714,26.51560139656067,
10,2,9.52427625656128,25.35138487815857,
10,3,9.581373691558838,26.69775128364563,
10,4,9.037959098815918,24.754980325698853,
10,5,9.872424602508545,25.227025032043457,
10,6,9.38009762763977,25.02745270729065,
10,7,9.562105655670166,25.37298583984375,
10,8,9.415303945541382,26.62938690185547,
10,9,9.811900854110718,26.170393228530884,
11,0,9.703087329864502,37.1475350856781,
11,1,10.059202671051025,36.76318073272705,
11,2,9.635551929473877,37.822322607040405,
11,3,10.208423614501953,39.63833427429199,
11,4,9.537769794464111,39.39190125465393,
11,5,9.940120935440063,36.757237672805786,
11,6,9.905346870422363,36.9574921131134,
11,7,9.80618691444397,38.59444570541382,
